soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3
tacii,closure,1130.405163,2467.062977,3517.623079,tacii,t burst,950.9821814,2209.357468,3155.085341,tacii,a,610.5464691,1527.63381,2759.798358,tacii,closure,1104.959608,2245.931708,3426.677824,tacii,k burst,1000.349934,1895.185358,2877.342899,tacii,i,268.6025713,2121.613427,3034.068506,tacii,closure,942.836566,2607.12638,3572.192214,tacii,t burst,638.6299427,1721.801711,2905.311239,tacii,a,506.8806279,1285.743681,2795.300252,tacii,closure,696.0733504,1618.729789,3052.076948,tacii,k burst,753.7245975,1807.347854,2754.481489,tacii,i,291.337087,2078.884837,3018.889852,,,,,,,,,,,,,,,,,,,,
tacuu-2,closure,1594.316745,2964.081608,3732.429495,tacuu-2,t burst,1133.023899,2190.602051,3168.093474,tacuu-2,a,614.6764956,1429.959904,2448.079605,tacuu-2,closure,766.7341844,1771.621319,3127.932144,tacuu-2,k burst,643.5352794,1218.534898,2893.682514,tacuu-2,u,411.6542995,1189.918445,2676.523434,tacuu-2,closure,1270.93165,2659.424158,3507.785276,tacuu-2,t burst,585.274973,1554.744033,3032.297218,tacuu-2,a,540.6027051,1594.733349,2691.214934,tacuu-2,closure,768.0635888,1676.806392,2993.660251,tacuu-2,k burst,844.8628209,1270.460816,2699.186984,tacuu-2,u,351.8488901,1264.213485,2652.371835,,,,,,,,,,,,,,,,,,,,
tacuu-3,closure,1322.940307,2546.768394,3632.615711,tacuu-3,t burst,910.0709584,1922.133978,3052.206989,tacuu-3,a,623.85187,1502.426607,2800.721559,tacuu-3,closure,669.5179477,1543.673166,2930.973856,tacuu-3,k burst,394.3085637,1238.601674,2838.288183,tacuu-3,o,419.2072461,1178.748431,2751.297357,tacuu-3,closure,891.1926893,2252.830311,3311.197475,tacuu-3,t burst,1202.829867,2245.468593,3304.299766,tacuu-3,a,547.9778092,1584.514038,2529.060876,tacuu-3,closure,702.7650744,1544.830625,3016.716312,tacuu-3,k burst,1125.031312,2205.331068,3164.166266,tacuu-3,o,436.135508,1207.399093,2813.743884,,,,,,,,,,,,,,,,,,,,
tacuu,closure,1151.578689,2506.284495,3425.190811,tacuu,t burst,894.8209926,2110.860199,3176.506933,tacuu,a,515.8293919,1481.375472,2685.363169,tacuu,closure,801.1304526,1639.566,2987.282185,tacuu,k burst ,815.408555,1034.099842,3058.454207,tacuu,u,325.5767684,1032.649795,2666.246198,tacuu,closure,837.6321641,2380.152609,3367.304591,tacuu,t burst,736.0859245,1851.068705,3087.482119,tacuu,a,563.2517471,1419.704834,2725.256987,tacuu,closure,685.285944,1451.506799,2888.036066,tacuu,k burst,775.9680175,1423.947699,2923.563898,tacuu,u,320.3205398,1046.929377,2622.014236,,,,,,,,,,,,,,,,,,,,
tosach-2,closure,1277.009839,2552.266234,3531.08315,tosach-2,t burst,809.8884506,2189.972298,3286.654116,tosach-2,_,269.658257,1437.940527,2818.570094,tosach-2,s,1146.334608,2504.566446,3445.537285,tosach-2,a,596.7576864,1271.808281,2449.77991,tosach-2,x,948.6053559,1730.158214,2978.403406,tosach-2,closure,917.6507804,2238.809136,3424.936633,tosach-2,t burst,679.4629809,1940.428807,3112.349991,tosach-2,_,274.3984414,1303.80152,2988.326855,tosach-2,s,1347.986636,2578.77993,3580.998138,tosach-2,a,660.2369902,1464.300709,2561.353943,tosach-2,x,976.9853821,2004.33708,3007.034931,,,,,,,,,,,,,,,,,,,,
tosach-3,_,1304.100396,2503.996838,3431.031268,tosach-3,_,344.4448828,1251.171889,2604.147048,tosach-3,s,1136.017542,2394.273741,3420.371273,tosach-3,a,693.1623958,1446.304881,2415.834616,tosach-3,x,868.499852,1315.785785,2797.767099,tosach-3,closure,1263.447958,2642.198512,3399.531765,tosach-3,t burst,711.5341454,1996.973375,3233.435323,tosach-3,_,294.1911,1515.197492,3007.684677,tosach-3,s,1309.589168,2648.064607,3597.068128,tosach-3,a,645.271673,1398.143653,2779.826029,tosach-3,x,943.5307593,1615.968787,3093.343802,,,,,,,,,,,,,,,,,,,,,,,,,
tosach,closure,1375.447988,2543.358253,3655.03661,tosach,t burst,785.0809403,2059.847771,3301.539877,tosach,_,437.8134405,1474.6408,2992.72102,tosach,s,1349.331051,2561.300245,3611.563805,tosach,a,640.4398496,1373.965104,2670.979467,tosach,x,941.1016168,2453.437344,3356.221675,tosach,closure,867.3509871,2352.57568,3530.288363,tosach,t burst,584.9761198,1943.229781,3176.126161,tosach,_,332.3965707,1499.075867,3023.648532,tosach,s,1241.665106,2605.829436,3501.892158,tosach,a,649.1348172,1440.810747,2847.626526,tosach,x,773.3967456,1288.650457,2870.761078,,,,,,,,,,,,,,,,,,,,
tosii-2,closure,730.3053924,2263.258658,3185.326914,tosii-2,t,647.2015804,1947.170122,3043.776101,tosii-2,a,625.8932711,1600.458909,2788.999902,tosii-2,s,1500.234488,2763.605438,3627.622761,tosii-2,i,352.0403259,1920.941059,2961.227682,tosii-2,closure,1150.919482,2568.681856,3677.639333,tosii-2,t burst,741.2650818,1964.624159,3202.233092,tosii-2,a,523.3292964,1586.646421,2689.953026,tosii-2,s,1355.546802,2693.170309,3540.226138,tosii-2,i,320.7661541,1774.066801,2925.680735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tosii-3,closure,1078.4775,2193.038771,3416.275449,tosii-3,t burst,592.8148062,1867.466832,3114.627515,tosii-3,_,489.2698486,1513.375848,2736.880622,tosii-3,s,1407.55623,2659.306545,3574.183358,tosii-3,i,345.0715749,2022.931355,3016.158173,tosii-3,closure,968.8557193,2629.613405,3636.744293,tosii-3,t burst,818.5620566,2024.116025,3164.539614,tosii-3,_,476.2080909,1447.186799,2416.54319,tosii-3,s,1386.701363,2631.608804,3428.5211,tosii-3,i,340.2892843,1796.570208,2992.538682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tosii,closure,1142.238792,2549.459381,3549.711137,tosii,t burst,789.8487818,2109.770132,3314.21368,tosii,_,632.0385539,1582.737472,2872.871632,tosii,s,1502.088802,2701.737994,3594.361724,tosii,i,316.6501289,1851.701202,3028.591753,tosii,closure,904.2286906,2191.135865,3370.505225,tosii,t burst,812.6776507,1906.894258,3117.700396,tosii,_,470.5812241,1565.051194,2735.182813,tosii,s,1445.536646,2678.774085,3443.360534,tosii,i,317.7031076,1945.968737,2995.749789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuutach-2,closure,1475.666766,2743.323413,3598.71329,tuutach-2,t burst,481.8700015,1423.153121,2986.97124,tuutach-2,u,555.893572,1577.38159,2749.153234,tuutach-2,closure,1579.846318,2702.605149,3802.02322,tuutach-2,t burst,1070.199615,2068.884473,3295.63448,tuutach-2,_,514.7727376,1199.929447,2855.701209,tuutach-2,x,908.4066936,1879.561765,3017.06678,tuutach-2,closure,1220.115666,2692.440404,3480.977277,tuutach-2,t burst,665.2806734,1783.727233,3118.463938,tuutach-2,u,427.1261559,1297.006293,2643.66792,tuutach-2,closure,1313.790526,2566.933596,3435.715271,tuutach-2,t burst,1026.012934,2395.013053,3283.904363,tuutach-2,_,558.5952096,1518.291137,2847.40437,tuutach-2,x,1013.029461,2513.380744,3400.990379,,,,,,,,,,
tuutach-3,closure,1732.273295,2847.932289,3685.681098,tuutach-3,t burst,420.5879914,1558.318578,3070.561398,tuutach-3,u,376.9533951,1181.241187,2604.450542,tuutach-3,closure,1148.098046,2397.492808,3467.436287,tuutach-3,t burst,836.5677568,2255.458773,3336.721232,tuutach-3,_,538.5871615,1179.24881,2752.922757,tuutach-3,x,970.4326407,2043.215785,3057.858337,tuutach-3,closure,925.8668104,2337.755215,3255.192442,tuutach-3,t burst,760.9564682,1991.616264,3157.417266,tuutach-3,u,372.8398057,1263.15403,2549.690292,tuutach-3,closure,1396.357132,2622.524023,3495.737182,tuutach-3,t burst,507.8029945,1605.872626,2989.012819,tuutach-3,_,472.1067854,1313.972834,2719.427915,tuutach-3,x,885.2977111,2126.108,3382.796196,,,,,,,,,,
tuutach,closure,1497.385316,2610.733914,3542.599932,tuutach,t burst,365.6923064,1430.324381,2909.442821,tuutach,u,458.7521724,1299.718883,2668.44484,tuutach,closure,1244.401576,2376.426715,3535.810319,tuutach,t burst,1009.794126,2026.193381,3240.725934,tuutach,_,561.6390984,1474.716187,2638.280777,tuutach,x,869.7883737,2133.425516,3185.423701,tuutach,closure,1189.370295,2595.427956,3555.528922,tuutach,t burst,614.3984842,1676.884913,2969.139786,tuutach,u,332.2148818,1265.489148,2535.246449,tuutach,closure,1054.845825,2359.080856,3623.991677,tuutach,t burst,632.0549662,1771.283508,3094.403523,tuutach,_,602.084519,1542.434907,2948.028803,tuutach,x,981.9747841,2624.796986,3571.226311,,,,,,,,,,
vootii-2,o,497.171596,1309.55433,2391.689436,vootii-2,closure,830.1971963,2445.942538,3452.334285,vootii-2,t burst,814.5608525,2095.208434,3299.140373,vootii-2,i,306.0979791,2040.229658,3054.859238,vootii-2,o,517.8047058,1581.830744,2409.01236,vootii-2,closure,911.508978,2215.056712,3333.93503,vootii-2,t,232.4611052,1535.204234,2762.634178,vootii-2,i,354.2054725,1586.695921,2764.588936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vootii-3,o,420.614641,1261.493888,2341.876701,vootii-3,_,995.1495044,2387.6801,3484.753878,vootii-3,i,301.6342383,2048.45204,2968.195867,vootii-3,o,431.9317296,1242.845552,2438.115928,vootii-3,closure,674.5240487,2294.198303,3210.003516,vootii-3,t burst,1002.060384,2362.96933,3484.326813,vootii-3,i,353.6692971,1892.989109,2983.588813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vootii,o,483.4222166,1112.256173,2312.530839,vootii,closure,819.5911154,2484.725411,3358.772569,vootii,t burst,346.8620729,1708.20732,2879.895811,vootii,i,312.2965037,1935.547014,2996.804391,vootii,o,429.557985,1284.584595,2743.426427,vootii,closure,727.8162667,2204.664488,3244.050087,vootii,t burst,948.3941248,2212.106882,3381.204457,vootii,i,278.4078231,1995.450273,2768.353578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
